"STATION","DATE","SOURCE","LATITUDE","LONGITUDE","ELEVATION","NAME","REPORT_TYPE","CALL_SIGN","QUALITY_CONTROL","WND","CIG","VIS","TMP","DEW","SLP","REM","EQD"
"99849799999","2018-11-27T07:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0050,1","+9999,9","99999,9","SYN046FSTI2 46/// /3211 11050 90700 555 11011 22012=",
"99849799999","2018-11-27T08:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0046,1","99999,9,9,N","999999,9,9,9","-0052,1","+9999,9","99999,9","SYN046FSTI2 46/// /2909 11052 90800 555 11009 22009=",
"99849799999","2018-11-27T09:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","290,1,N,0057,1","99999,9,9,N","999999,9,9,9","-0053,1","+9999,9","99999,9","SYN046FSTI2 46/// /2911 11053 90900 555 11011 22012=",
"99849799999","2018-11-27T10:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0036,1","99999,9,9,N","999999,9,9,9","-0053,1","+9999,9","99999,9","SYN046FSTI2 46/// /2607 11053 91000 555 11007 22008=",
"99849799999","2018-11-27T11:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0053,1","+9999,9","99999,9","SYN046FSTI2 46/// /2612 11053 91100 555 11012 22013=",
"99849799999","2018-11-27T12:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","260,1,N,0077,1","99999,9,9,N","999999,9,9,9","-0055,1","+9999,9","99999,9","SYN046FSTI2 46/// /2615 11055 91200 555 11016 22017=",
"99849799999","2018-11-27T13:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","300,1,N,0088,1","99999,9,9,N","999999,9,9,9","-0055,1","+9999,9","99999,9","SYN046FSTI2 46/// /3017 11055 91300 555 11018 22019=",
"99849799999","2018-11-27T14:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","320,1,N,0041,1","99999,9,9,N","999999,9,9,9","-0050,1","+9999,9","99999,9","SYN046FSTI2 46/// /3208 11050 91400 555 11008 22009=",
"99849799999","2018-11-27T15:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0093,1","99999,9,9,N","999999,9,9,9","-0044,1","+9999,9","99999,9","SYN046FSTI2 46/// /2718 11044 91500 555 11018 22020=",
"99849799999","2018-11-27T16:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0026,1","99999,9,9,N","999999,9,9,9","-0046,1","+9999,9","99999,9","SYN046FSTI2 46/// /2505 11046 91600 555 11005 22005=",
"99849799999","2018-11-27T17:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0062,1","99999,9,9,N","999999,9,9,9","-0049,1","+9999,9","99999,9","SYN046FSTI2 46/// /2712 11049 91700 555 11012 22013=",
"99849799999","2018-11-27T18:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0118,1","99999,9,9,N","999999,9,9,9","-0050,1","+9999,9","99999,9","SYN046FSTI2 46/// /2723 11050 91800 555 11023 22025=",
"99849799999","2018-11-27T19:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","280,1,N,0118,1","99999,9,9,N","999999,9,9,9","-0050,1","+9999,9","99999,9","SYN046FSTI2 46/// /2823 11050 91900 555 11023 22025=",
"99849799999","2018-11-27T20:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","250,1,N,0072,1","99999,9,9,N","999999,9,9,9","-0048,1","+9999,9","99999,9","SYN046FSTI2 46/// /2514 11048 92000 555 11014 22016=",
"99849799999","2018-11-27T21:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0113,1","99999,9,9,N","999999,9,9,9","-0049,1","+9999,9","99999,9","SYN046FSTI2 46/// /2722 11049 92100 555 11022 22024=",
"99849799999","2018-11-27T22:00:00","4","41.976","-87.648","177.0","FOSTER AVE CHICAGO, IL US","FM-13","99999","V020","270,1,N,0149,1","99999,9,9,N","999999,9,9,9","-0051,1","+9999,9","99999,9","SYN046FSTI2 46/// /2729 11051 92200 555 11029 22032=",
