Utility Characteristics,Unnamed: 1,Unnamed: 2,Unnamed: 3,Number and Capacity,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Capacity by Technology Type (MW),Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18
Data Year,Utility Number,Utility Name,State,Number of Generators,Total Capacity in MWs,Capacity Back-up Only,Capacity Utility Owned,Estimated or Actual Data,Internal Combustion Engine,Combusiton Turbine,Steam Turbine,HydroElectric,Wind,Photovoltaic,Storage,Other,Total,Estimated or Actual Data
2014,8548,City of Hickman,KY,3,0.05,0,0,A,0,0,0,0,0,0.05,0,0,0.05,A
2014,8571,Town of High Point,NC,6,2.5,2.4,1.3,A,2.4,.,.,.,.,0.1,.,.,2.5,A
2014,8764,"Holston Electric Coop, Inc",TN,26,2.21,0,0,A,0,0,0,0,0,1.21,0,1,2.21,A
2014,8773,"Holy Cross Electric Assn, Inc",CO,12,2.7,0,0,A,0,0,0,0.7,0,2,0,0,2.7,A
2014,8774,City of Holyoke - (MA),MA,6,2,0,0,A,.,.,.,0.6,.,1.4,.,.,2,A
2014,8846,City of Hopkinsville,KY,2,0.03,0,0,A,0,0,0,0,0,0.03,0,0,0.03,A
2014,8973,Town of Hudson - (MA),MA,101,0.9,.,.,A,.,.,.,.,.,0.9,.,.,0.9,A
2014,9011,City of Hugoton - (KS),KS,1,0.8,0.8,0.8,A,0.8,.,.,.,.,.,.,.,0.8,A
2014,9023,City of Humboldt,TN,6,0.21,0,0,A,0,0,0,0,0,0.21,0,0,0.21,A
2014,9094,City of Huntsville - (AL),AL,31,0.62,0,0,A,0,0,0,0,0,0.62,0,0,0.62,A
2014,9163,Hyrum City Corporation,UT,1,0.4,.,0.4,A,.,.,.,0.4,.,.,.,.,0.4,A
2014,9191,Idaho Power Co,ID,34,13.2,.,.,A,0.5,.,.,12.7,.,.,.,.,13.2,A
2014,9191,Idaho Power Co,OR,1,0.8,.,.,A,.,.,.,0.8,.,.,.,.,0.8,A
2014,9216,Imperial Irrigation District,CA,133,19,.,.,A,.,.,.,.,.,17,.,2,19,A
2014,9230,City of Independence - (IA),IA,1,0.1,.,.,A,.,0,0,0,0,0.1,0,.,0.1,A
2014,9273,Indianapolis Power & Light Co,IN,55,3.2,0,0,A,.,.,.,.,.,3.2,.,.,3.2,A
