,Year,Month,Event date,Event time,Restoration date,Restoration time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 14
106,2014,9,9/5/14,7:14 PM,9/6/14,1:00 PM,"17 Hours, 46 Minutes",Consumers Energy,RFC,"Lower Peninsula of Michigan,nan","Thunderstorms,Severe Weather -",50,60000,
107,2014,9,9/5/14,8:00 PM,,ongoing,nanongoing,Detroit Edison Co,RFC,"Michigan,nan","Thunderstorms,Severe Weather -",Unknown,324000,
108,2014,9,9/9/14,8:18 AM,9/9/14 23:59,,"15 Hours, 41 Minutes",Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",Unknown,Unknown,
109,2014,9,9/11/14,4:56 AM,9/11/14,5:37 AM,"0 Hours, 41 Minutes",Peak Reliability,WECC,"Alberta, Canada,nan","(Islanding),Electrical System Separation",Unknown,Unknown,
110,2014,9,9/14/14,9:50 PM,9/17/14,3:08 PM,"65 Hours, 18 Minutes",Portland General Electric,WECC,"Oregon,nan","(Islanding),Electrical System Separation",1,123,
111,2014,9,9/19/14,2:20 PM,9/23/14,1:10 PM,"94 Hours, 50 Minutes",Portland General Electric,WECC,"Estacada, Oregon,nan","(Islanding),Electrical System Separation",1,123,
112,2014,9,9/22/14 11:00,,9/22/14 11:01,,"0 Hours,1 Minutes",Minnesota Power Inc,MRO,Northeast Minnesota,Fuel Supply Emergency - Coal,1000,140000,
113,2014,10,10/2/14,4:00 PM,10/7/14 10:00,,"114 Hours,0 Minutes",Oncor Electric Delivery Company LLC,TRE,"Texas,nan","Thunderstorms,Severe Weather -",Unknown,500000,
114,2014,10,10/2/14 22:15,,,ongoing,nanongoing,"Entergy Services, Inc.",SERC,"Arkansas,nan","Thunderstorms,Severe Weather -",Unknown,67300,
115,2014,10,10/6/14 10:52,,10/7/14 0:52,,"14 Hours,0 Minutes",CenterPoint Energy,TRE,"Houston, Texas,nan","Thunderstorms,Severe Weather -",292,129237,
116,2014,10,10/8/14,4:47 PM,10/8/14,6:29 PM,"1 Hours, 42 Minutes",ERCOT,TRE,"Rio Grande Valley Texas,nan,nan","100 MW,Electricity Usage; Load Shed of,Public Appeal to Reduce",Unknown,Unknown,
117,2014,10,10/8/14,4:49 PM,10/8/14,6:23 PM,"1 Hours, 34 Minutes",American Electric Power - Texas,TRE,"Rio Grande Valley Texas,nan,nan","100 MW,Electricity Usage; Load Shed of,Public Appeal to Reduce",585,120000,
118,2014,10,10/9/14,9:27 AM,,ongoing,nanongoing,American Electric Power,TRE,"Rio Grande Valley Texas,nan","Electricity Usage,Public Appeal to Reduce",Unknown,2800,
119,2014,10,10/13/14 12:45,,10/13/14,4:15 PM,"3 Hours, 30 Minutes","Entergy Services, Inc.",SERC,"Louisiana,nan","Thunderstorms,Severe Weather -",Unknown,68600,
120,2014,10,10/14/14,5:44 AM,10/14/14,5:50 PM,"12 Hours,6 Minutes",Southern Company,SERC,"Alabama, Florida, Georgia,nan","Thunderstorms,Severe Weather -",191,57475,
121,2014,10,10/14/14,6:20 PM,10/14/14,6:28 PM,"0 Hours,8 Minutes",Puerto Rico Electric Power Authority,,Puerto Rico,Voltage Reduction,Unknown,Unknown,
