Data Year,Utility Number,Utility Name,Ownership Code,Ownership,Monthly,Short Form,Advanced Metering,Demand Response,Distribution Systems,Dynamic Pricing,Energy Efficiency,Mergers,Net Metering,Non Net Metering Distributed,Operational Data,Reliablity,Sales to Ultimate Customers,Service Territory,Utility Data
2017,13664,Norris Public Power District,P,Political Subdivision,X,,X,X,X,,X,X,X,,X,X,X,X,X
2017,13669,North Alabama Electric Coop,C,Cooperative,,,X,,X,X,,,,X,X,,X,X,X
2017,13670,"Northeast Texas Elec Coop, Inc",C,Cooperative,,,,,,,,,,,X,,,,X
2017,13675,Nishnabotna Valley R E C,C,Cooperative,,,X,,X,,,,X,X,X,X,X,X,X
2017,13676,"North Arkansas Elec Coop, Inc",C,Cooperative,,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13679,Town of North Attleborough - (MA),M,Municipal,,,X,,X,,,,X,X,X,X,X,X,X
2017,13681,North Branch Water & Light Comm,M,Municipal,,X,X,,,,,,,,,,,X,
2017,13683,North Carolina El Member Corp,C,Cooperative,,,,X,,,,,,,X,,,,X
2017,13684,Nobles Cooperative Electric,C,Cooperative,,,X,,X,X,,,X,X,X,X,X,X,X
2017,13685,"Niobrara Electric Assn, Inc",C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13687,North Carolina Eastern M P A,A,Municipal Mktg Authority,,,,X,,,X,,,,X,,,X,X
2017,13690,North Central MO Elec Coop Inc,C,Cooperative,,,X,X,X,,,,X,,X,,X,X,X
2017,13693,"North Central Elec Coop, Inc",C,Cooperative,,,X,,X,X,,,,,X,X,X,X,X
2017,13694,"North Central Elec Coop, Inc",C,Cooperative,X,,X,,X,,,,,,X,X,X,X,X
2017,13697,North Central Power Co Inc,I,Investor Owned,X,,X,,X,X,,,X,,X,,X,X,X
2017,13698,North Central Public Pwr Dist,P,Political Subdivision,,,X,X,X,X,X,,X,,X,X,X,X,X
2017,13700,North Itasca Electric Coop Inc,C,Cooperative,,,X,,X,,,,,,X,X,X,X,X
2017,13704,"North Western Elec Coop, Inc",C,Cooperative,,,X,,X,,,,X,,X,X,X,X,X
2017,13716,North Georgia Elec Member Corp,C,Cooperative,,,X,,X,X,,,,X,X,X,X,X,X
2017,13718,City of North Little Rock - (AR),M,Municipal,X,,X,,X,X,,,X,,X,X,X,X,X
2017,13725,City of North Platte,M,Municipal,,,X,X,X,,X,,,,X,,X,X,X
2017,13726,North Shore Towers Apts Inc,C,Cooperative,,,X,,,,,,,,X,,X,X,X
2017,13730,City of North St Paul - (MN),M,Municipal,,,X,,X,X,,,,,X,X,X,X,X
2017,13731,"North Star Electric Coop, Inc",C,Cooperative,,,X,,X,,X,,X,,X,X,X,X,X
2017,13734,"Northeast Oklahoma Electric Coop, Inc",C,Cooperative,X,,X,,X,,,,X,,X,,X,X,X
2017,13735,Northcentral Mississippi E P A,C,Cooperative,,,X,,X,X,,,,X,X,X,X,X,X
2017,13738,Northeast Missouri El Pwr Coop,T,Transmission,,,,,,,,,,,X,,,,X
2017,13739,Northeast Power,P,Political Subdivision,,,X,,X,X,X,,X,,X,,X,X,X
2017,13749,"NorVal Electric Cooperative, Inc",C,Cooperative,,X,X,,,,,,,,,,,X,
2017,13750,"Northern Electric Coop, Inc",C,Cooperative,X,,X,,X,,,,,,X,X,X,X,X
2017,13756,Northern Indiana Pub Serv Co,I,Investor Owned,X,,X,,X,,X,,X,,X,,X,X,X
2017,13757,North Plains Electric Coop Inc,C,Cooperative,,,X,,X,,,,,,X,X,X,X,X
2017,13758,"Northern Lights, Inc",C,Cooperative,,,X,,X,,,,,,X,X,X,X,X
