,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
,,,,,,,,"County, Otsego County,",,,,
,,,,,,,,"Putnam County, Saratoga",,,,
,,,,,,,,"County, Schoharie County,",,,,
,,,,,,,,"Schuyler County, Steuben",,,,
,,,,,,,,"County, Sullivan County,",Loss of electric service to more,,,
,,,,,,,,"Tioga County, Tompkins","than 50,000 customers for 1",,,
2022,4,04/19/2022 4:07 AM,.,.,". Hours, . Minutes",New York State Electric & Gas,NPCC,"County, Ulste",hour or more-Severe Weather,Unknown,,84033
,,,,,,,,,Loss of electric service to more,,,
,,,,,,,,,"than 50,000 customers for 1",,,
2022,4,04/19/2022 6:00 AM,.,.,". Hours, . Minutes",National Grid,NPCC,New York:,hour or more-Severe Weather,Unknown,,97000
,,,,,,,,Connecticut: Massachusetts:,Loss of electric service to more,,,
,,,,,,,,Maine: New Hampshire:,"than 50,000 customers for 1",,,
2022,4,04/19/2022 8:41 AM,04/19/2022 12:10 PM,,"3 Hours, 29 Minutes",ISO New England,NPCC,Rhode Island: Vermont:,hour or more-Severe Weather,Unknown,,67754
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,,more from a single incident-,,,
2022,4,04/22/2022 11:00 PM,04/24/2022 4:00 PM,,"41 Hours, 0 Minutes","Southwest Power Pool, Inc.",MRO,North Dakota:,Severe Weather,,1000,Unknown
,,,,,,,,North Dakota: Mountrail,,,,
,,,,,,,,"County, Williams County,",Unexpected Transmission loss,,,
,,,,,,,,"Ward County, Burke County,","within its area, contrary to",,,
,,,,,,,,"Bottineau County, McLean","design, of three or more Bulk",,,
,,,,,,,,"County, Walsh County,",Electric System Facilities,,,
,,,,,,,,"Bowman County, Stark",caused by a common,,,
,,,,,,,,"County, Dunn County, Mercer",disturbance (excluding,,,
,,,,,,Western Area Power Administration - Upper Great,WECC/MR,County; Montana: Wibaux,successful automatic,,,
2022,4,04/22/2022 11:16 PM,04/24/2022 4:00 PM,"40 Hours, 44 Minutes",,Plains Region - (NCR01036),O,"County, Richland County;",reclosing).-Severe Weather,Unknown,,Unknown
,,,,,,,,,Uncontrolled loss of 300,,,
,,,,,,,,,Megawatts or more of firm,,,
,,,,,,,,,system loads for 15 minutes or,,,
,,,,,,,,North Dakota: Mountrail,more from a single incident-,,,
