,Year,Month,Event date and time,Restoration date and time,Duration,Utility/Power Pool,NERC Region,Area Affected,Type of Disturbance,Loss (megawatts),Number of Customers Affected,Unnamed: 12
69,2018,7,07/11/2018 3:40 PM,07/11/2018 4:00 PM,"nan0 Hours, 20 Minutes",Tennessee Valley Authority,SERC,Tennessee:,Uncontrolled loss of 300 Megawatts or more of firm system loads for 15 minutes or more from a single incident- Transmission Interruption,,425,26195
70,2018,7,07/16/2018 5:15 AM,.,".. Hours, . Minutes",California Department of Water Resources,WECC,California: Merced County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,,0,0
71,2018,7,07/18/2018 4:00 AM,.,".. Hours, . Minutes",California Department of Water Resources,WECC,California: Fresno County;,Fuel supply emergencies that could impact electric power system adequacy or reliability- Fuel Supply Deficiency,,0,0
72,2018,7,07/18/2018 5:28 PM,07/18/2018 5:31 PM,"nan0 Hours, 3 Minutes",Bonneville Power Administration,WECC,Oregon:,"Total generation loss, within one minute of: greater than or equal to 2,000 Megawatts in the Eastern or Western Interconnection or greater than or equal to 1,400 Megawatts in the ERCOT Interconnection.- Severe Weather/Transmission Interruption",Unknown,,Unknown
73,2018,7,07/20/2018 4:19 PM,07/20/2018 4:48 PM,"nan0 Hours, 29 Minutes",Tennessee Valley Authority,SERC,Kentucky:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,,87833
74,2018,7,07/21/2018 4:45 AM,07/21/2018 11:15 AM,"nan6 Hours, 30 Minutes",Entergy Corp,SERC,Arkansas:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,64930
75,2018,7,07/21/2018 7:20 AM,07/21/2018 11:30 AM,"nan4 Hours, 10 Minutes",Southern Company,SERC,Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,143,42901
76,2018,7,07/23/2018 4:16 AM,07/23/2018 4:29 AM,"nan0 Hours, 13 Minutes",Duke Energy Florida,FRCC,Florida: Pinellas County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",,40,Unknown
77,2018,7,07/26/2018 8:24 PM,.,".. Hours, . Minutes",Redding Electric Utility,WECC,California: Shasta County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System-Natural nan,Disaster,Unknown,Unknown
78,2018,7,07/27/2018 9:34 AM,07/27/2018 9:51 AM,"nan0 Hours, 17 Minutes",Peak Reliability,WECC,Washington: Clark County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system-System Operations,,Unknown,Unknown
79,2018,7,07/27/2018 4:28 PM,07/27/2018 4:33 PM,"nan0 Hours, 5 Minutes",Consolidated Edison Co-NY Inc,NPCC,New York: New York County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Severe Weather/Transmission Interruption",,0,0
80,2018,7,07/29/2018 2:33 PM,07/29/2018 6:23 PM,"nan3 Hours, 50 Minutes",Pacific Gas & Electric Co,WECC,California:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Natural Disaster",,83,57670
81,2018,7,07/30/2018 6:30 AM,07/30/2018 11:00 PM,"16 Hours, 30 Minutes",Arizona Public Service Co,WECC,Arizona: Maricopa County;,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",,Unknown,82000
82,2018,8,08/07/2018 1:22 AM,08/07/2018 1:59 AM,"nan0 Hours, 37 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Natural nan,Disaster,5,485
83,2018,8,08/07/2018 1:22 AM,08/07/2018 7:04 PM,"17 Hours, 42 Minutes",Pacific Gas & Electric Co,WECC,California: Butte County;,Electrical System Separation (Islanding) where part or parts of power grid remain(s) operational in an otherwise blocked out area or within the partial failure of an integrated electrical system.-Natural nan,Disaster,27,11383
84,2018,8,08/26/2018 10:00 PM,08/27/2018 4:56 AM,"nan6 Hours, 56 Minutes",Consumers Energy Co,RF,"Michigan: Muskegon County, Newaygo County, Oceana County, Mason County, Kent County, Mecosta County, Montcalm County, Isabella County, Midland County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,Unknown,67000
85,2018,8,08/28/2018 8:00 PM,08/30/2018 2:59 PM,"42 Hours, 59 Minutes",Consumers Energy Co,RF,"Michigan: Benzie County, Barry County, Grand Traverse County, Kalkaska County, Mason County, Oceana County, Muskegon County, Kent County, Newaygo County, Montcalm County, Mecosta County, Antrim County, Eaton County, Ionia County, Isabella County, Clare County, Saginaw County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,Unknown,110000
86,2018,8,08/29/2018 12:00 AM,08/30/2018 12:00 AM,"nan24 Hours, 0 Minutes",ComEd,SERC,Illinois:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,Unknown,100000
87,2018,8,08/31/2018 3:07 PM,08/31/2018 3:31 PM,"nan0 Hours, 24 Minutes",Pacificorp,WECC,Oregon:,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Natural Disaster/Transmission Interruption",,96,50000
88,2018,9,09/06/2018 2:26 AM,09/06/2018 2:27 AM,"nan0 Hours, 1 Minutes",Tampa Electric Co,FRCC,Florida: Hillsborough County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",,0,0
89,2018,9,09/13/2018 8:30 PM,09/19/2018 5:00 PM,"140 Hours, 30 Minutes",North Carolina El Member Corp,SERC,North Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,300,325000
90,2018,9,09/13/2018 8:56 PM,09/20/2018 7:00 PM,"166 Hours, 4 Minutes",Duke Energy Progress,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,Unknown,1457583
91,2018,9,09/15/2018 1:05 AM,09/17/2018 4:00 PM,"62 Hours, 55 Minutes",South Carolina Pub Serv Auth,SERC,"South Carolina: Horry County, Chesterfield County, Dillon County, Georgetown County, Marlboro County, Darlington County;","Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",,Unknown,50100
92,2018,9,09/15/2018 3:00 PM,09/15/2018 6:00 PM,"nan3 Hours, 0 Minutes",Louisiana Generating LLC,SERC,Louisiana:,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.-System Operations,,Unknown,Unknown
93,2018,9,09/15/2018 3:00 PM,09/15/2018 6:00 PM,"nan3 Hours, 0 Minutes",Cooperative Energy,SERC,Mississippi: Forrest County;,Public appeal to reduce the use of electricity for purposes of maintaining the continuity of the Bulk Electric System.-System Operations,1322,420000,
94,2018,9,09/16/2018 8:00 AM,09/18/2018 7:40 PM,"59 Hours, 40 Minutes",Duke Energy Carolinas,SERC,North Carolina: South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more.-Severe Weather",Unknown,50000,
95,2018,9,09/22/2018 3:23 PM,09/22/2018 11:00 PM,"nan7 Hours, 37 Minutes",Los Angeles Department of Water & Power,WECC,California: Los Angeles County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Natural Disaster",3507,2500,
96,2018,9,09/26/2018 1:54 PM,09/26/2018 5:58 PM,"nan4 Hours, 4 Minutes",CenterPoint Energy,TRE,Texas: Harris County;,"Unexpected Transmission loss within its area, contrary to design, of three or more Bulk Electric System Facilities caused by a common disturbance (excluding successful automatic reclosing).-Transmission Interruption",0,0,
97,2018,10,10/10/2018 11:59 AM,.,".. Hours, . Minutes",Southern Company,FRCC,Florida: Alabama: Georgia:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",152,45604,
98,2018,10,10/10/2018 2:00 PM,10/11/2018 6:00 AM,"nan16 Hours, 0 Minutes",Seminole Electric Cooperative Inc.,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",135,60717,
99,2018,10,10/10/2018 4:00 PM,10/19/2018 6:00 AM,"206 Hours, 0 Minutes",City of Tallahassee,FRCC,Florida:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",330,55000,
100,2018,10,10/11/2018 7:21 AM,10/11/2018 3:00 PM,"nan7 Hours, 39 Minutes",South Carolina Electric and Gas,SERC,South Carolina:,"Loss of electric service to more than 50,000 customers for 1 hour or more-Severe Weather",Unknown,71654,
