,fips_code,county,state,customers_out,run_start_time,run_end_time
255,17007,Boone,Illinois,91.0,2014-11-06 03:45:00,2014-11-06 03:60:00
256,17007,Boone,Illinois,1.0,2014-11-02 22:45:00,2014-11-02 22:60:00
257,17007,Boone,Illinois,35.0,2014-11-06 04:15:00,2014-11-06 04:45:00
258,17007,Boone,Illinois,97.0,2014-11-06 03:15:00,2014-11-06 03:30:00
259,17007,Boone,Illinois,35.0,2014-11-06 05:15:00,2014-11-06 05:60:00
260,17007,Boone,Illinois,1.0,2014-11-02 22:30:00,2014-11-02 22:45:00
261,17007,Boone,Illinois,35.0,2014-11-06 06:15:00,2014-11-06 05:15:00
262,17007,Boone,Illinois,97.0,2014-11-06 03:00:00,2014-11-06 03:15:00
263,17007,Boone,Illinois,1.0,2014-11-02 23:15:00,2014-11-02 23:30:00
264,17007,Boone,Illinois,10.0,2014-12-12 17:15:00,2014-12-12 17:15:00
265,17007,Boone,Illinois,2.0,2014-12-12 15:00:00,2014-12-12 14:45:00
266,17007,Boone,Illinois,1.0,2014-12-11 16:30:00,2014-11-10 02:45:00
267,17007,Boone,Illinois,17.0,2014-11-22 23:00:00,2014-11-22 23:15:00
268,17007,Boone,Illinois,1.0,2014-12-03 02:15:00,2014-12-03 02:30:00
269,17007,Boone,Illinois,4.0,2014-12-01 20:30:00,2014-12-01 21:30:00
270,17007,Boone,Illinois,28.0,2014-11-14 06:00:00,2014-11-14 06:15:00
271,17007,Boone,Illinois,110.0,2014-12-02 15:45:00,2014-12-02 15:60:00
272,17007,Boone,Illinois,1.0,2014-11-11 21:30:00,2014-11-13 16:60:00
273,17007,Boone,Illinois,28.0,2014-11-14 08:00:00,2014-11-14 08:30:00
274,17007,Boone,Illinois,1.0,2014-11-11 22:00:00,2014-11-11 22:15:00
275,17007,Boone,Illinois,4.0,2014-12-01 19:45:00,2014-12-01 19:30:00
276,17007,Boone,Illinois,7.0,2014-11-02 16:15:00,2014-11-02 16:30:00
277,17007,Boone,Illinois,28.0,2014-11-14 06:45:00,2014-11-14 06:60:00
278,17007,Boone,Illinois,4.0,2014-12-01 16:15:00,2014-12-01 16:45:00
279,17007,Boone,Illinois,28.0,2014-11-14 06:30:00,2014-11-14 06:45:00
280,17007,Boone,Illinois,4.0,2014-12-01 16:45:00,2014-12-01 16:60:00
281,17007,Boone,Illinois,1.0,2014-11-11 22:15:00,2014-11-11 22:30:00
282,17007,Boone,Illinois,4.0,2014-12-01 17:30:00,2014-12-01 17:45:00
283,17007,Boone,Illinois,28.0,2014-11-14 06:15:00,2014-11-14 06:30:00
284,17007,Boone,Illinois,4.0,2014-12-01 18:00:00,2014-12-01 17:30:00
285,17007,Boone,Illinois,2.0,2014-11-14 23:30:00,2014-11-14 23:45:00
286,17007,Boone,Illinois,28.0,2014-11-14 07:00:00,2014-11-14 07:15:00
287,17007,Boone,Illinois,1.0,2014-12-03 01:00:00,2014-11-12 23:15:00
288,17007,Boone,Illinois,2.0,2014-11-14 23:45:00,2014-11-14 23:60:00
289,17007,Boone,Illinois,1.0,2014-11-12 19:15:00,2014-11-12 20:30:00
290,17007,Boone,Illinois,2.0,2014-11-12 20:30:00,2014-11-12 20:45:00
291,17007,Boone,Illinois,1.0,2014-11-12 21:45:00,2014-11-12 21:60:00
292,17007,Boone,Illinois,2.0,2014-11-12 20:45:00,2014-11-12 20:60:00
293,17007,Boone,Illinois,1.0,2014-12-03 01:15:00,2014-12-03 02:15:00
294,17007,Boone,Illinois,7.0,2014-11-02 15:45:00,2014-11-02 15:60:00
295,17007,Boone,Illinois,1.0,2014-11-10 02:45:00,2014-11-10 02:60:00
296,17007,Boone,Illinois,7.0,2014-11-02 15:30:00,2014-11-02 15:45:00
297,17007,Boone,Illinois,1.0,2014-11-13 16:15:00,2014-11-13 16:15:00
298,17007,Boone,Illinois,7.0,2014-11-02 16:00:00,2014-11-02 16:15:00
299,17007,Boone,Illinois,1.0,2014-12-03 00:15:00,2014-12-03 00:45:00
300,17009,Brown,Illinois,1.0,2014-11-22 16:45:00,2014-11-10 20:30:00
301,17009,Brown,Illinois,2.0,2014-11-09 21:00:00,2014-11-09 21:15:00
302,17009,Brown,Illinois,1.0,2014-12-02 17:45:00,2014-12-02 17:60:00
303,17009,Brown,Illinois,2.0,2014-11-09 22:00:00,2014-11-09 22:15:00
304,17009,Brown,Illinois,1.0,2014-11-10 20:30:00,2014-11-09 21:45:00
305,17009,Brown,Illinois,2.0,2014-11-09 21:15:00,2014-11-09 21:30:00
306,17009,Brown,Illinois,1.0,2014-11-09 21:45:00,2014-11-09 21:60:00
307,17011,Bureau,Illinois,1.0,2014-11-20 22:15:00,2014-11-03 14:60:00
308,17011,Bureau,Illinois,200.0,2014-11-17 06:15:00,2014-11-17 06:30:00
309,17011,Bureau,Illinois,1.0,2014-11-20 23:15:00,2014-11-20 19:60:00
310,17011,Bureau,Illinois,34.0,2014-11-02 14:45:00,2014-11-02 14:60:00
311,17011,Bureau,Illinois,560.0,2014-11-17 08:00:00,2014-11-17 08:15:00
312,17011,Bureau,Illinois,1.0,2014-11-15 18:00:00,2014-11-05 13:45:00
