Utility Characteristics,,,,,,Reporting Year Incremental Annual Savings,,,,,,,,,,Incremental Life Cycle Savings,,,,,,,,,,Reporting Year Incremental Cost,,,,,,,,,,Incremental Life Cycle Costs,,,,,,,,,,Weighted Average Life,,,,
,,,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Energy Savings (MWh),,,,,Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,(Years),,,,
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Website
2019,20885,Withlacoochee River Elec Coop,,FL,SEC,1,1,0,0,2,0.0,0.0,0.0,0.0,0.0,15,1,0,0,16,0.0,0.0,0.0,0.0,0.0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,12.445,12.367,0.000,0.000,
2019,20949,City of Woodbine - (IA),Y,IA,SWPP,56,16,0,0,72,0.0,0.0,0.0,0.0,0.0,997,208,0,0,"1,205",0.0,0.0,0.0,0.0,0.0,4,2,0,0,6,2,1,0,0,2,4,2,0,0,6,2,8,0,0,10,17.800,13.300,13.300,0.000,
2019,20963,Woodruff Electric Coop Corp,,AR,MISO,0,0,0,0,0,0.0,0.0,4.1,0.0,4.1,0,0,0,0,0,0.0,0.0,4.1,0.0,4.1,0,0,21,0,21,0,0,0,0,0,0,0,21,0,21,0,0,0,0,0,0.000,0.000,0.000,0.000,
2019,20997,Yellowstone Valley Elec Co-op,,MT,WAUW,347,0,0,0,347,1.0,0.0,0.0,0.0,1.0,347,0,0,0,347,1.0,0.0,0.0,0.0,1.0,11,0,0,0,11,27,0,0,0,27,6,0,0,0,6,39,0,0,0,39,1.000,0.000,0.000,0.000,
2019,21002,York Electric Coop Inc,,SC,DUK,0,17,381,0,398,0.0,0.0,0.1,0.0,0.1,0,261,"5,717",0,"5,978",0.0,0.0,0.1,0.0,0.1,0,2,8,0,10,0,0,0,0,0,0,2,8,0,10,0,0,0,0,0,0.000,15.000,15.000,0.000,
2019,21013,City of Worthington - (MN),,MN,MISO,71,784,958,0,"1,814",0.0,0.1,0.2,0.0,0.3,"1,189","9,722","11,883",0,"22,794",0.0,0.1,0.2,0.0,0.3,30,38,47,0,115,12,15,19,0,46,30,38,47,0,115,12,15,19,0,46,16.600,12.400,12.400,0.000,
2019,21048,Wyandotte Municipal Serv Comm,,MI,MISO,230,389,0,0,619,0.0,0.0,0.0,0.0,0.1,"3,889","6,578",0,0,"10,467",0.0,0.0,0.0,0.0,0.0,20,32,0,0,52,0,28,0,0,28,20,32,0,0,52,0,28,0,0,28,10.000,16.150,0.000,0.000,www.wyan.org
2019,21075,Y-W Electric Assn Inc,,CO,WACM,14,99,0,0,113,0.0,0.0,0.0,0.0,0.0,227,"1,612",0,0,"1,840",0.0,0.0,0.0,0.0,0.0,5,13,0,0,19,0,0,0,0,0,5,13,0,0,19,0,0,0,0,0,15.230,19.710,0.000,0.000,
2019,21111,Perennial Public Power Dist,,NE,SWPP,212,398,94,0,703,0.1,0.1,0.0,0.0,0.1,"2,820","4,373",942,0,"8,135",0.1,0.1,0.0,0.0,0.1,45,19,7,0,71,0,0,0,0,0,73,21,7,0,101,0,0,0,0,0,13.330,11.000,10.000,0.000,
2019,21158,City of Zeeland - (MI),,MI,MISO,258,"2,656",0,0,"2,914",0.0,0.4,0.0,0.0,0.4,"2,953","30,809",0,0,"33,762",0.0,0.3,0.0,0.0,0.3,49,186,0,0,235,19,140,0,0,159,49,186,0,0,235,19,140,0,0,159,13.030,13.030,0.000,0.000,
2019,21352,Municipal Energy Agency of NE,,CO,WACM,0,117,0,0,117,0.0,0.1,0.0,0.0,0.1,0,321,0,0,321,0.0,0.1,0.0,0.0,0.1,0,7,0,0,7,0,0,0,0,0,0,20,0,0,20,0,0,0,0,0,0.000,10.000,0.000,0.000,
2019,21352,Municipal Energy Agency of NE,,IA,MISO,0,49,0,0,49,0.0,0.1,0.0,0.0,0.1,0,545,0,0,545,0.0,0.1,0.0,0.0,0.1,0,4,0,0,4,0,0,0,0,0,0,24,0,0,24,0,0,0,0,0,0.000,10.000,0.000,0.000,
2019,21352,Municipal Energy Agency of NE,,NE,SWPP,0,378,0,0,378,0.0,0.1,0.0,0.0,0.1,0,"1,508",0,0,"1,508",0.0,0.1,0.0,0.0,0.1,0,49,0,0,49,0,0,0,0,0,0,221,0,0,221,0,0,0,0,0,0.000,10.000,0.000,0.000,
2019,21352,Municipal Energy Agency of NE,,WY,WACM,0,91,0,0,91,0.0,0.1,0.0,0.0,0.1,0,135,0,0,135,0.0,0.1,0.0,0.0,0.1,0,14,0,0,14,0,0,0,0,0,0,21,0,0,21,0,0,0,0,0,0.000,10.000,0.000,0.000,
