Utility Characteristics,,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,Short Form,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2019,16674,Satilla Rural Elec Member Corporation,,GA,SOCO,0,829,28,0,857,0,8,6,0,14,0.0,8.1,18.0,0.0,26.1,0.0,4.1,11.0,0.0,15.1,0,0,0,0,0,0,30,35,0,65,0
2019,16740,Scenic Rivers Energy Coop,,WI,MISO,"5,859",550,9,0,"6,418",0,0,0,0,0,6.1,0.3,0.7,0.0,7.1,4.1,0.2,0.5,0.0,4.7,271,25,30,0,326,151,14,16,0,181,71
2019,16805,SEMO Electric Cooperative,,MO,AECI,0,358,0,0,358,0,20,0,0,20,0.0,2.8,0.0,0.0,2.8,0.0,0.8,0.0,0.0,0.8,0,0,0,0,0,0,26,0,0,26,0
2019,16852,City of Seaford- (DE),,DE,PJM,0,1,1,0,2,0,0,0,0,0,0.0,0.2,0.2,0.0,0.4,0.0,0.2,0.2,0.0,0.4,0,6,5,0,11,0,0,0,0,0,0
2019,16854,"Heartland Rural Elec Coop, Inc",,KS,SWPP,"2,120",0,0,0,"2,120",0,0,0,0,0,12.7,0.0,0.0,0.0,12.7,1.8,0.0,0.0,0.0,1.8,27,0,0,0,27,12,0,0,0,12,0
2019,16865,Sawnee Electric Membership Corporation,,GA,SOCO,"56,270",158,0,0,"56,428",89,37,0,0,126,135.0,0.5,0.0,0.0,135.5,47.5,0.3,0.0,0.0,47.8,"1,772",53,0,0,"1,824",740,0,0,0,740,0
2019,16920,Sedgwick County El Coop Assn Inc,,KS,SWPP,0,0,50,0,50,0,0,10,0,10,0.0,0.0,2.2,0.0,2.2,0.0,0.0,1.8,0.0,1.8,0,0,48,0,48,0,0,2,0,2,0
2019,16932,City of Sergeant Bluff - (IA),,IA,MISO,573,8,0,0,581,7,0,0,0,7,0.7,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.7,0,0,0,0,0,0,0,0,0,0,0
2019,16971,Shakopee Public Utilities Comm,,MN,MISO,"1,929",0,0,0,"1,929",0,0,0,0,0,2.0,0.0,0.0,0.0,2.0,0.7,0.0,0.0,0.0,0.7,23,0,0,0,23,29,0,0,0,29,0
2019,17040,"Shelby Electric Coop, Inc",,IL,MISO,"1,130",42,0,0,"1,172",0,0,0,0,0,6.3,7.2,0.0,0.0,13.5,2.7,3.0,0.0,0.0,5.7,0,0,0,0,0,4,1,0,0,5,0
