Utility Characteristics,,,,,Yearly Energy and Demand Savings,,,,,,,,,,,,,,,,,,,,Program Costs,,,,,,,,,,DSM Program
,,,,,Number of Customers Enrolled,,,,,Energy Savings (MWh),,,,,Potential Peak Demand Savings (MW),,,,,Actual Peak Demand Savings (MW),,,,,Customer Incentives (Thousand Dollars),,,,,All Other Costs (Thousand Dollars),,,,,Grid Connected
Data Year,Utility Number,Utility Name,State,BA Code,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Residential,Commercial,Industrial,Transportation,Total,Water Heater
2017,5480,Town of Danvers,MA,ISNE,1354,65,9,.,1428,6,10,1,.,17,0.3,0.1,0.4,.,0.7,0.3,0.1,0.4,.,0.7,7,1,5,.,13,24,33,14,.,71,.
2017,5552,"East River Elec Pwr Coop, Inc",SD,SWPP,.,.,.,.,.,.,.,.,.,.,34,13,28,0,75,34,13,28,0,75,0,0,0,0,0,1360,272,68,0,1700,6
2017,5575,City of East Grand Forks - (MN),MN,MISO,863,67,.,.,930,2040,3171,.,.,5211,4,3,.,.,7,2,2,.,.,4,41,2,.,.,43,22,24,.,.,46,.
2017,5580,"East Kentucky Power Coop, Inc",KY,PJM,715,0,0,0,715,5,0,0,0,5,0.1,0,0,0,0.1,0.1,0,0,0,0.1,582,0,0,0,582,1342,0,0,0,1342,242
2017,5632,Eau Claire Electric Coop,WI,MISO,5288,168,0,0,5456,0,0,0,0,0,2.5,13.1,0,0,15.5,0.8,4,0,0,4.7,579,18,0,0,597,71,2,0,0,73,21
2017,5701,El Paso Electric Co,NM,EPE,.,1,2,.,3,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.
2017,5701,El Paso Electric Co,TX,EPE,0,7,10,0,17,0,11,14,0,25,0,4.2,5.5,0,9.7,0,4.2,5.5,0,9.7,0,185,203,0,388,0,28,36,0,63,.
2017,5780,Elkhorn Rural Public Pwr Dist,NE,SWPP,.,.,1289,.,1289,.,.,.,.,.,.,.,40.7,.,40.7,.,.,40.7,.,40.7,.,.,.,.,.,.,.,182,.,182,0
2017,5860,Empire District Electric Co,MO,SWPP,.,.,2,.,2,.,.,.,.,.,.,.,0.8,.,0.8,.,.,0,.,0,.,.,12,.,12,.,.,.,.,.,.
2017,5880,"Energy Coop of New York, Inc",NY,NYIS,0,3,0,0,3,.,.,.,.,.,.,9.6,.,.,9.6,.,9.6,.,.,9.6,.,.,.,.,.,.,.,.,.,.,.
2017,5905,Excelsior Electric Member Corp,GA,SOCO,296,.,226,.,522,5,.,127,.,132,0.4,.,9.3,.,9.7,0.1,.,2.3,.,2.4,.,.,.,.,.,.,.,17,.,17,.
2017,5964,"Escambia River Elec Coop, Inc",FL,AEC,849,.,.,.,849,86,.,.,.,86,3.6,.,.,.,3.6,2.9,.,.,.,2.9,56,.,.,.,56,29,.,.,.,29,.
2017,6151,Fairmont Public Utilities Comm,MN,MISO,3123,815,1,0,3939,38,9,0,0,47,1.3,0.3,0,0,1.6,0.4,0.3,0,0,0.7,3,1,0,0,4,0,1,0,0,1,0
2017,6169,Fall River Rural Elec Coop Inc,ID,BPAT,.,37,.,.,37,.,54,.,.,54,.,8.1,.,.,8.1,.,1.5,.,.,1.5,.,2,.,.,2,.,8,.,.,8,.
2017,6181,"Farmers Electric Coop, Inc - (MO)",MO,AECI,5181,29,1,.,5211,184,703,0,.,887,5.8,0.3,0,.,6.1,4.4,0,0,.,4.4,3,.,.,.,3,17,0,.,.,18,0
2017,6182,"Farmers Electric Coop, Inc - (TX)",TX,ERCO,426,.,.,.,426,7,.,.,.,7,.,.,.,.,.,.,.,.,.,.,60,.,.,.,60,37,.,.,.,37,.
2017,6342,First Electric Coop Corp,AR,MISO,6110,0,587,0,6697,47,0,823,0,870,6.1,0,70.6,0,76.7,1,0,13.4,0,14.4,171,0,3991,0,4162,5,0,5,0,10,.
2017,6395,Flathead Electric Coop Inc,MT,BPAT,2148,.,.,.,2148,.,.,.,.,.,16.8,.,.,.,16.8,12.5,.,.,.,12.5,83,.,.,.,83,386,.,.,.,386,.
2017,6411,Flint Electric Membership Corp,GA,SOCO,22102,404,578,0,23084,213,10,447,0,670,15,1,32,0,48,4.3,0.3,9,0,13.6,328,2,120,0,450,226,1,9,0,236,.
2017,6431,"Flint Hills Rural E C A, Inc",KS,SWPP,421,28,15,.,464,.,.,.,.,.,0.5,0.3,0.4,.,1.1,0.5,0.3,0.4,.,1.1,24,17,28,.,69,3,2,2,.,7,0
2017,6452,Florida Power & Light Co,FL,FPL,750770,21571,.,.,772341,956,6207,.,.,7163,839,769,.,.,1608,.,.,.,.,.,35356,62798,.,.,98154,16346,4988,.,.,21334,.
2017,6455,"Duke Energy Florida, LLC",FL,FPC,419369,665,.,.,420034,.,.,.,.,.,653,398,.,.,1051,.,.,.,.,.,22854,37507,.,.,60361,22275,1911,.,.,24186,.
2017,6604,City of Fort Collins - (CO),CO,PSCO,4448,0,0,0,4448,0,0,0,0,0,2.5,0,0,0,2.5,2,0,0,0,2,113,0,0,0,113,549,0,0,0,549,.
2017,6640,Four County Elec Member Corp,NC,CPLE,.,.,4,.,4,.,.,620,.,620,.,.,70,.,70,.,.,32,.,32,.,.,1676,.,1676,.,.,.,.,.,.
2017,6709,Easley Combined Utility System,SC,DUK,344,.,.,.,344,0,.,.,.,0,0.3,.,.,.,0.3,0.3,.,.,.,0.3,18,.,.,.,18,.,.,.,.,.,.
2017,6782,Freeborn-Mower Coop Services,MN,MISO,1675,34,0,0,1709,0,0,0,0,0,3.4,8.3,0,0,11.7,1.4,3.5,0,0,4.9,249,5,0,0,254,69,1,0,0,70,0
