|Data Year|,|Utility Number|,|Utility Name|,|Ownership|,|State|,|BA Code|,|Total Revenue (Thousand Dollars)|,|Total Sales (MWh)|,|Total Customers|,|w_heater|,|Net Metering|,|Demand Side Management|,|Time Based Programs|
2022,13603,City of Newton - (TX),Municipal,TX,MISO,"2,455.7","20,609","1,038",.,N,N,N
2022,16175,City of Robstown - (TX),Municipal,TX,ERCO,"9,788.3","92,569","4,608",.,N,N,N
2022,16605,City of San Augustine - (TX),Municipal,TX,MISO,"2,843.5","24,136","1,217",.,N,N,N
2022,16647,City of Sanger - (TX),Municipal,TX,ERCO,"8,079.7","77,845","2,609",.,Y,N,N
2022,16765,City of Schulenburg - (TX),Municipal,TX,ERCO,"8,013.0","64,707","1,884",.,Y,N,N
2022,16961,City of Seymour - (TX),Municipal,TX,ERCO,"3,496.9","27,647","1,575",.,N,N,N
2022,17101,City of Shiner - (TX),Municipal,TX,ERCO,"4,631.0","45,261","1,409",.,N,N,N
2022,17453,City of Smithville - (TX),Municipal,TX,ERCO,"5,541.0","40,400","2,289",.,N,N,N
2022,17681,Southwest Rural Elec Assn Inc,Cooperative,TX,SWPP,"10,213.8","77,373","3,324",.,Y,N,N
2022,18199,"Swisher Electric Coop, Inc",Cooperative,TX,SWPP,"22,340.6","167,482","7,972",.,Y,N,N
2022,18933,City of Timpson - (TX),Municipal,TX,ERCO,"1,838.0","14,928",725,.,N,N,N
2022,19264,City of Tulia,Municipal,TX,SWPP,"3,975.0","31,182","2,058",.,N,N,N
2022,19952,City of Waelder - (TX),Municipal,TX,ERCO,.,.,.,.,,,
2022,20331,City of Weimar - (TX),Municipal,TX,ERCO,"3,960.1","34,834","1,254",.,N,N,N
2022,20588,City of Whitesboro - (TX),Municipal,TX,ERCO,"5,205.6","35,925","2,157",.,Y,N,N
2022,21108,City of Yoakum - (TX),Municipal,TX,ERCO,"9,141.7","94,424","2,949",.,Y,N,N
2022,28981,City of San Saba - (TX),Municipal,TX,ERCO,"1,701.5","36,989","1,860",.,N,N,N
